"nu","tau","tmean","iwv","ilv","date"
"22","0.085271","265.511","11.335","0","2016-03-16 00:00:00"
"22","0.107917","265.58","14.105","0.055","2016-03-16 03:00:00"
"22","0.093555","264.607","12.512","0","2016-03-16 06:00:00"
"22","0.093265","265.53","12.613","0","2016-03-16 09:00:00"
"22","0.101551","267.707","13.357","0.051","2016-03-16 12:00:00"
"22","0.102579","267.337","14.236","0","2016-03-16 15:00:00"
"22","0.101061","267.205","14.069","0","2016-03-16 18:00:00"
"22","0.087559","266.394","11.749","0","2016-03-16 21:00:00"
"22","0.099508","266.158","13.418","0","2016-03-17 00:00:00"
"22","0.102403","265.569","13.87","0","2016-03-17 03:00:00"
"22","0.100396","265.586","13.588","0","2016-03-17 06:00:00"
"22","0.101924","265.714","13.935","0","2016-03-17 09:00:00"
"22","0.10368","266.372","14.312","0","2016-03-17 12:00:00"
"22","0.10335","266.388","14.251","0","2016-03-17 15:00:00"
"22","0.102345","266.655","14.16","0","2016-03-17 18:00:00"
"22","0.096798","266.737","13.288","0","2016-03-17 21:00:00"
"22","0.098056","266.824","13.495","0","2016-03-18 00:00:00"
"22","0.094292","267.172","12.993","0","2016-03-18 03:00:00"
"22","0.089378","267.592","12.218","0","2016-03-18 06:00:00"
"22","0.083393","268.154","11.308","0","2016-03-18 09:00:00"
"22","0.085873","269.485","11.855","0","2016-03-18 12:00:00"
"22","0.089091","270.169","12.222","0.015","2016-03-18 15:00:00"
"22","0.076906","269.722","10.494","0","2016-03-18 18:00:00"
"22","0.0724","269.333","9.616","0","2016-03-18 21:00:00"
"22","0.071163","266.319","8.854","0","2016-03-19 00:00:00"
"22","0.085098","265.801","10.677","0","2016-03-19 03:00:00"
"22","0.093151","266.135","11.882","0","2016-03-19 06:00:00"
"22","0.096616","266.393","12.331","0","2016-03-19 09:00:00"
"22","0.093989","268.742","12.328","0","2016-03-19 12:00:00"
"22","0.088142","271.249","11.922","0","2016-03-19 15:00:00"
"22","0.084975","271.022","11.284","0","2016-03-19 18:00:00"
"22","0.064685","271.448","8.284","0","2016-03-19 21:00:00"
"22","0.077499","270.988","10.025","0","2016-03-20 00:00:00"
"22","0.098493","271.397","13.04","0","2016-03-20 03:00:00"
"22","0.098856","271.455","13.074","0","2016-03-20 06:00:00"
"22","0.101379","271.669","13.477","0","2016-03-20 09:00:00"
"22","0.106074","272.328","14.273","0","2016-03-20 12:00:00"
"22","0.097117","271.493","12.684","0","2016-03-20 15:00:00"
"22","0.093405","270.697","11.829","0","2016-03-20 18:00:00"
"22","0.111207","272.097","14.624","0","2016-03-20 21:00:00"
"22","0.107","272.52","14.267","0","2016-03-21 00:00:00"
"22","0.091222","271.163","11.526","0","2016-03-21 03:00:00"
"22","0.089831","272","11.491","0","2016-03-21 06:00:00"
"22","0.090569","272.833","11.757","0","2016-03-21 09:00:00"
"22","0.108189","275.768","15.086","0","2016-03-21 12:00:00"
"22","0.112717","275.517","15.784","0","2016-03-21 15:00:00"
"22","0.103862","275.484","14.502","0","2016-03-21 18:00:00"
"22","0.091019","275.554","12.528","0","2016-03-21 21:00:00"
"22","0.098503","275.267","13.946","0","2016-03-22 00:00:00"
"22","0.098305","274.707","13.53","0.007","2016-03-22 03:00:00"
"22","0.098931","273.325","13.261","0.016","2016-03-22 06:00:00"
"22","0.107987","273.423","14.799","0","2016-03-22 09:00:00"
"22","0.139011","273.127","19.76","0","2016-03-22 12:00:00"
"22","0.148529","272.441","21.377","0","2016-03-22 15:00:00"
"22","0.141724","271.902","20.267","0","2016-03-22 18:00:00"
"22","0.16731","271.574","21.213","0.205","2016-03-22 21:00:00"
"22","0.146433","272.055","21.107","0","2016-03-23 00:00:00"
"22","0.146292","272.207","19.497","0.134","2016-03-23 03:00:00"
"22","0.149275","271.24","19.511","0.143","2016-03-23 06:00:00"
"22","0.143303","269.16","19.521","0.041","2016-03-23 09:00:00"
"22","0.124125","269.068","17.239","0","2016-03-23 12:00:00"
"22","0.105088","270.348","14.408","0.022","2016-03-23 15:00:00"
"22","0.138855","272.156","14.944","0.396","2016-03-23 18:00:00"
"22","0.092159","269.198","12.959","0","2016-03-23 21:00:00"
"22","0.087585","269.342","12.228","0","2016-03-24 00:00:00"
"22","0.086865","267.128","11.759","0","2016-03-24 03:00:00"
"22","0.088342","266.4","11.886","0","2016-03-24 06:00:00"
"22","0.084175","266.32","11.179","0","2016-03-24 09:00:00"
"22","0.085449","267.396","11.467","0","2016-03-24 12:00:00"
"22","0.092745","265.951","12.266","0","2016-03-24 15:00:00"
"22","0.057264","269.162","7.393","0","2016-03-24 18:00:00"
"22","0.043868","269.059","5.257","0","2016-03-24 21:00:00"
"22","0.045094","267.859","5.315","0","2016-03-25 00:00:00"
"22","0.044517","266.822","5.093","0","2016-03-25 03:00:00"
